,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_fit_prior,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.1688399314880371,0.15328693389892578,0.59143615162767,0.6523887558325314,1,True,"{'fit_prior': True, 'alpha': 1}",7,0.5040476599373457,0.6612380743697405,0.6788267134117815,0.6435394372953223,0.020334482192993164,0.0370335578918457,0.08738952673108832,0.008849318537209105
1,0.2316911220550537,0.20955872535705566,0.47895606445538047,0.5099820991442101,1,False,"{'fit_prior': False, 'alpha': 1}",13,0.3403172986385413,0.5536038943734122,0.617598114403141,0.46636030391500805,0.00529932975769043,0.0023250579833984375,0.1386404078725755,0.043621795229202065
2,0.3760770559310913,0.22110974788665771,0.621327600807765,0.6631344079509469,10,True,"{'fit_prior': True, 'alpha': 10}",5,0.5638298502336213,0.6827649103690061,0.6788267134117815,0.6435039055328876,0.002835392951965332,0.038253188133239746,0.05749843158504709,0.019630502418059248
3,0.3797863721847534,0.2877769470214844,0.4788909221193763,0.5098932688262919,10,False,"{'fit_prior': False, 'alpha': 10}",14,0.340246235113672,0.5535269070644739,0.6175388933962656,0.4662596305881099,0.059564948081970215,0.03990507125854492,0.138646329131572,0.04363363823818203
4,0.2296593189239502,0.1689530611038208,0.6212861465939441,0.663063344145514,100,True,"{'fit_prior': True, 'alpha': 100}",6,0.5637765525899694,0.6827412219662559,0.6787971029083436,0.6433854663247721,0.0010800361633300781,0.03351175785064697,0.057510275155153286,0.019677877820741874
5,0.2599031925201416,0.13038229942321777,0.49253824151224973,0.5266465232914249,100,False,"{'fit_prior': False, 'alpha': 100}",12,0.3411286072141322,0.5559312799436216,0.6439514624627648,0.49736176663922826,0.047327280044555664,0.01889348030090332,0.15141142761369616,0.029284756652196653
6,0.23328208923339844,0.24905931949615479,0.6213601719757671,0.6642773665799786,500,True,"{'fit_prior': True, 'alpha': 500}",4,0.5687213895287896,0.6844763974677097,0.6740002013514234,0.6440783356922476,0.02015209197998047,0.01831352710723877,0.05263940590762471,0.020199030887731062
7,0.2515251636505127,0.18862581253051758,0.5085306850012732,0.5412473414032742,500,False,"{'fit_prior': False, 'alpha': 500}",11,0.36585871386863905,0.5749056905465507,0.6512060358050208,0.5075889922599978,0.04520297050476074,0.01595449447631836,0.14267366095818362,0.03365834914327648
8,0.2371441125869751,0.19781708717346191,0.6245965616690651,0.6658141504458633,1000,True,"{'fit_prior': True, 'alpha': 1000}",3,0.5751526385294587,0.6874433699121753,0.6740416560562362,0.6441849309795514,0.03509843349456787,0.004048347473144531,0.04944450875992066,0.02162921946631191
9,0.2516164779663086,0.17463195323944092,0.5205760951314987,0.57310454325797,1000,False,"{'fit_prior': False, 'alpha': 1000}",10,0.36713785731628595,0.5762440853019383,0.6740179676534861,0.5699650012140018,0.0028252601623535156,0.019086480140686035,0.15344005515783765,0.003139542043968213
10,0.26862645149230957,0.1276867389678955,0.6264886504284589,0.6664566983704632,1500,True,"{'fit_prior': True, 'alpha': 1500}",2,0.5789367712287475,0.6887284657613749,0.6740416560562362,0.6441849309795514,0.020391225814819336,0.03163766860961914,0.04755244241040898,0.022271767390911745
11,0.22542011737823486,0.15668249130249023,0.5345757753418492,0.5838827487636762,1500,False,"{'fit_prior': False, 'alpha': 1500}",9,0.393869586587944,0.5963022403306901,0.675285297200623,0.5714632571966624,0.011037230491638184,0.0043544769287109375,0.14070785529647012,0.012419491567013885
12,0.2847316265106201,0.17992150783538818,0.6285584001042278,0.6671170133686755,2000,True,"{'fit_prior': True, 'alpha': 2000}",1,0.5825787768782978,0.690114237322263,0.674539112513991,0.644119789415088,0.013949155807495117,0.06901729106903076,0.04598016781462149,0.022997223953587498
13,0.24397647380828857,0.1552361249923706,0.5511900320381853,0.5987885771553155,2000,False,"{'fit_prior': False, 'alpha': 2000}",8,0.4229168023782593,0.6177520890210175,0.6794663002860375,0.5798250652896135,0.050036072731018066,0.004643559455871582,0.1282747489448918,0.018963511865702
