,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_fit_intercept,param_penalty,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,19.83324944972992,0.21359705924987793,0.659646099454581,0.6931709365729171,1,True,l2,liblinear,"{'penalty': 'l2', 'fit_intercept': True, 'C': 1, 'solver': 'liblinear'}",1,0.6563012619697625,0.7119312562552188,0.662991016173257,0.6744106168906154,1.7193158864974976,0.04144144058227539,0.003344877101512633,0.018760319682301685
1,43.806819796562195,0.19013500213623047,0.6596283333629435,0.6931857418947769,1,True,l2,newton-cg,"{'penalty': 'l2', 'fit_intercept': True, 'C': 1, 'solver': 'newton-cg'}",4,0.6562775741281394,0.7119667888593442,0.6629791719718818,0.6744046949302097,3.61392343044281,0.027750730514526367,0.0033507989216362065,0.018781046964567227
2,55.408472299575806,0.17926692962646484,0.6589857930487205,0.693040652953004,1,False,l2,liblinear,"{'penalty': 'l2', 'fit_intercept': False, 'C': 1, 'solver': 'liblinear'}",10,0.6552116212551002,0.7118898015504059,0.6627600542464422,0.6741915043556019,22.391422748565674,0.01301431655883789,0.003774216495406274,0.018849148597402
3,54.183544278144836,0.15359950065612793,0.6589650659418101,0.6929784711763483,1,False,l2,newton-cg,"{'penalty': 'l2', 'fit_intercept': False, 'C': 1, 'solver': 'newton-cg'}",11,0.6551760894926657,0.7117891258387176,0.6627541321457547,0.6741678165139788,6.784931063652039,0.021967649459838867,0.0037890213262787515,0.018810654662369364
4,28.60091233253479,0.13495028018951416,0.6596431384393081,0.6930732236650947,10,True,l2,liblinear,"{'penalty': 'l2', 'fit_intercept': True, 'C': 10, 'solver': 'liblinear'}",3,0.6563071839301683,0.7118838794497184,0.6629791719718818,0.6742625678804711,3.134056806564331,0.004195094108581543,0.00333599402062278,0.018810655784623653
5,51.502678632736206,0.1405543088912964,0.6596224113323976,0.6932212742884796,10,True,l2,newton-cg,"{'penalty': 'l2', 'fit_intercept': True, 'C': 10, 'solver': 'newton-cg'}",5,0.6562479643261105,0.7120200877655322,0.6629969382739446,0.674422460811427,3.23439884185791,0.004084944725036621,0.003374486973680323,0.01879881347705259
6,66.0040352344513,0.14073634147644043,0.6589650659418101,0.6931235600479803,10,False,l2,liblinear,"{'penalty': 'l2', 'fit_intercept': False, 'C': 10, 'solver': 'liblinear'}",11,0.6550635722449559,0.7118601910469682,0.6628666520588183,0.6743869290489923,2.0749244689941406,0.03575277328491211,0.003901539906657549,0.018736630998987924
7,57.85521936416626,0.13934862613677979,0.6590272472625414,0.6931857420350587,10,False,l2,newton-cg,"{'penalty': 'l2', 'fit_intercept': False, 'C': 10, 'solver': 'newton-cg'}",8,0.6551997773342887,0.7119786330607193,0.6628548078574432,0.6743928510093982,1.4205100536346436,0.010025620460510254,0.003827515261308798,0.018792891025660563
8,28.341087222099304,0.14493036270141602,0.659646099454581,0.6930969118574223,20,True,l2,liblinear,"{'penalty': 'l2', 'fit_intercept': True, 'C': 20, 'solver': 'liblinear'}",1,0.6563012619697625,0.7119134899531561,0.662991016173257,0.6742803337616885,3.4986852407455444,0.01772022247314453,0.003344877101512633,0.018816578095733782
9,49.03991770744324,0.10024106502532959,0.6596076062560331,0.693215352257933,20,True,l2,newton-cg,"{'penalty': 'l2', 'fit_intercept': True, 'C': 20, 'solver': 'newton-cg'}",6,0.6562183545240816,0.7120141656648447,0.6629969382739446,0.6744165388510213,4.089442014694214,0.0029600858688354492,0.0033892918746937493,0.018798813406911696
10,47.146729946136475,0.05912649631500244,0.659006520155631,0.6931709367833399,20,False,l2,liblinear,"{'penalty': 'l2', 'fit_intercept': False, 'C': 20, 'solver': 'liblinear'}",9,0.6551524016510426,0.7119490225572814,0.6628607299581307,0.6743928510093982,2.1990232467651367,0.02649819850921631,0.003854164153273725,0.018778085773941633
11,39.39541137218475,0.04378211498260498,0.659039091323633,0.6931650151034976,20,False,l2,newton-cg,"{'penalty': 'l2', 'fit_intercept': False, 'C': 20, 'solver': 'newton-cg'}",7,0.6552056992946945,0.7119727109600318,0.6628725741595058,0.6743573192469635,1.6096376180648804,0.006766915321350098,0.003833437432136781,0.018807695856534135
